Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18O_cib_adj,d13C_cib_adj,age_ka
ODP1209,A,5,H,5,15,17,42.85,46.71,CWUEL,3.039,-0.319,3.679,-0.319,3016.7
ODP1209,A,5,H,5,25,27,42.95,46.81,CWUEL,3.017,-0.026,3.657,-0.026,3020.9
ODP1209,A,5,H,5,30,32,43,46.86,CWUEL,3.017,-0.217,3.657,-0.217,3023.3
ODP1209,A,5,H,5,37,39,43.07,46.93,CWUEL,3.064,-0.249,3.704,-0.249,3026.7
ODP1209,A,5,H,5,45,47,43.15,47.01,CWUEL,3.013,-0.292,3.653,-0.292,3031.8
ODP1209,A,5,H,5,55,57,43.25,47.11,CWUEL,2.869,-0.189,3.509,-0.189,3038.5
ODP1209,A,5,H,5,60,62,43.3,47.16,CWUEL,2.944,-0.05,3.584,-0.05,3042
ODP1209,A,5,H,5,65,67,43.35,47.21,CWUEL,2.884,-0.102,3.524,-0.102,3044.9
ODP1209,A,5,H,5,75,77,43.45,47.31,CWUEL,3.019,-0.179,3.659,-0.179,3050
ODP1209,A,5,H,5,85,87,43.55,47.41,CWUEL,2.835,0.022,3.475,0.022,3055.4
ODP1209,A,5,H,5,90,92,43.6,47.46,CWUEL,2.972,-0.112,3.612,-0.112,3058.7
ODP1209,A,5,H,5,95,97,43.65,47.51,CWUEL,2.91,0.053,3.55,0.053,3061.4
ODP1209,A,5,H,5,107,109,43.77,47.63,CWUEL,2.836,0.047,3.476,0.047,3067.8
ODP1209,A,5,H,5,115,117,43.85,47.71,CWUEL,2.931,-0.018,3.571,-0.018,3072.3
ODP1209,A,5,H,5,120,122,43.9,47.76,CWUEL,2.929,0.033,3.569,0.033,3075.6
ODP1209,A,5,H,5,125,127,43.95,47.81,CWUEL,2.827,0.041,3.467,0.041,3078.9
ODP1209,A,5,H,5,135,137,44.05,47.91,CWUEL,2.842,0.128,3.482,0.128,3085.2
ODP1209,A,5,H,5,140,142,44.1,47.96,CWUEL,2.757,0.117,3.397,0.117,3088.7
ODP1209,A,5,H,5,145,147,44.15,48.01,CWUEL,2.959,-0.137,3.599,-0.137,3091.8
ODP1209,A,5,H,6,0,2,44.2,48.06,CWUEL,3.074,-0.008,3.714,-0.008,3095.2
ODP1209,A,5,H,6,5,7,44.25,48.11,CWUEL,2.806,-0.021,3.446,-0.021,3098.3
ODP1209,A,5,H,6,15,17,44.35,48.21,CWUEL,2.874,-0.159,3.514,-0.159,3103.6
ODP1209,A,5,H,6,25,27,44.45,48.31,CWUEL,2.961,0.013,3.601,0.013,3109
ODP1209,A,5,H,6,30,32,44.5,48.36,CWUEL,2.962,-0.011,3.602,-0.011,3111.9
ODP1209,A,5,H,6,35,37,44.55,48.41,CWUEL,2.859,-0.066,3.499,-0.066,3114.3
ODP1209,A,5,H,6,45,47,44.65,48.51,CWUEL,3.006,0.051,3.646,0.051,3118.7
ODP1209,A,5,H,6,55,57,44.75,48.61,CWUEL,3.024,0.011,3.664,0.011,3123.2
ODP1209,A,5,H,6,60,62,44.8,48.66,CWUEL,2.9,-0.07,3.54,-0.07,3125.4
ODP1209,A,5,H,6,65,67,44.85,48.71,CWUEL,2.982,-0.113,3.622,-0.113,3127.2
ODP1209,A,5,H,6,75,77,44.95,48.81,CWUEL,3.019,-0.153,3.659,-0.153,3131.2
ODP1209,A,5,H,6,85,87,45.05,48.91,CWUEL,3.127,-0.411,3.767,-0.411,3135.4
ODP1209,A,5,H,6,90,92,45.1,48.96,CWUEL,3.087,-0.244,3.727,-0.244,3138.1
ODP1209,A,5,H,6,95,97,45.15,49.01,CWUEL,3.034,-0.297,3.674,-0.297,3140.8
ODP1209,A,5,H,6,106,108,45.26,49.12,CWUEL,3.117,-0.3,3.757,-0.3,3146.8
ODP1209,B,6,H,1,15,17,43.25,49.17,CWUEL,2.738,-0.119,3.378,-0.119,3149.9
ODP1209,A,5,H,6,115,117,45.35,49.21,CWUEL,2.704,-0.111,3.344,-0.111,3153
ODP1209,B,6,H,1,25,27,43.35,49.27,CWUEL,2.624,-0.016,3.264,-0.016,3156.8
ODP1209,B,6,H,1,30,32,43.4,49.32,CWUEL,2.48,0.087,3.12,0.087,3159.9
ODP1209,B,6,H,1,35,37,43.45,49.37,CWUEL,2.53,0.012,3.17,0.012,3162.6
ODP1209,B,6,H,1,45,47,43.55,49.47,CWUEL,2.676,0.096,3.316,0.096,3167.7
ODP1209,B,6,H,1,55,57,43.65,49.57,CWUEL,2.893,0.081,3.533,0.081,3172.6
ODP1209,B,6,H,1,60,62,43.7,49.62,CWUEL,2.747,0.017,3.387,0.017,3175.7
ODP1209,B,6,H,1,65,67,43.75,49.67,CWUEL,2.739,0.079,3.379,0.079,3178.8
ODP1209,B,6,H,1,78,80,43.88,49.8,CWUEL,2.865,0.121,3.505,0.121,3186.1
ODP1209,B,6,H,1,85,87,43.95,49.87,CWUEL,2.931,0.261,3.571,0.261,3190.6
ODP1209,B,6,H,1,90,92,44,49.92,CWUEL,2.825,0.264,3.465,0.264,3194.1
ODP1209,B,6,H,1,95,97,44.05,49.97,CWUEL,2.757,0.259,3.397,0.259,3197.5
ODP1209,B,6,H,1,105,107,44.15,50.07,CWUEL,2.715,0.334,3.355,0.334,3203.9
ODP1209,B,6,H,1,115,117,44.25,50.17,CWUEL,2.762,0.283,3.402,0.283,3209.7
ODP1209,B,6,H,1,120,122,44.3,50.22,CWUEL,2.722,0.336,3.362,0.336,3212.6
ODP1209,B,6,H,1,125,127,44.35,50.27,CWUEL,2.673,0.275,3.313,0.275,3214.8
ODP1209,B,6,H,1,135,137,44.45,50.37,CWUEL,2.737,0.286,3.377,0.286,3219
ODP1209,B,6,H,1,140,142,44.5,50.42,CWUEL,2.86,0.206,3.5,0.206,3221.7
ODP1209,B,6,H,1,145,147,44.55,50.47,CWUEL,2.791,0.179,3.431,0.179,3224.2
ODP1209,B,6,H,2,0,2,44.6,50.52,CWUEL,2.888,0.145,3.528,0.145,3227.1
ODP1209,B,6,H,2,5,7,44.65,50.57,CWUEL,2.896,0.23,3.536,0.23,3229.9
ODP1209,B,6,H,2,15,17,44.75,50.67,CWUEL,2.77,0.033,3.41,0.033,3235.7
ODP1209,B,6,H,2,25,27,44.85,50.77,CWUEL,2.724,0.197,3.364,0.197,3241.1
ODP1209,B,6,H,2,30,32,44.9,50.82,CWUEL,2.705,0.154,3.345,0.154,3244
ODP1209,B,6,H,2,35,37,44.95,50.87,CWUEL,2.699,0.125,3.339,0.125,3246.4
ODP1209,B,6,H,2,45,47,45.05,50.97,CWUEL,2.723,0.136,3.363,0.136,3250.6
ODP1209,B,6,H,2,55,57,45.15,51.07,CWUEL,2.717,0.149,3.357,0.149,3254.9
ODP1209,B,6,H,2,60,62,45.2,51.12,CWUEL,2.783,0.091,3.423,0.091,3257.5
ODP1209,B,6,H,2,65,67,45.25,51.17,CWUEL,2.91,0.019,3.55,0.019,3260.4
ODP1209,B,6,H,2,75,77,45.35,51.27,CWUEL,2.904,0.16,3.544,0.16,3266
ODP1209,B,6,H,2,85,87,45.45,51.37,CWUEL,2.829,0.197,3.469,0.197,3272.2
ODP1209,B,6,H,2,90,92,45.5,51.42,CWUEL,2.89,0.241,3.53,0.241,3274.9
ODP1209,B,6,H,2,95,97,45.55,51.47,CWUEL,2.903,0.239,3.543,0.239,3277.3
ODP1209,B,6,H,2,105,107,45.65,51.57,CWUEL,2.837,-0.014,3.477,-0.014,3281.5
ODP1209,B,6,H,2,115,117,45.75,51.67,CWUEL,3.012,-0.19,3.652,-0.19,3286
ODP1209,B,6,H,2,120,122,45.8,51.72,CWUEL,3.075,-0.043,3.715,-0.043,3288.7
ODP1209,B,6,H,2,125,127,45.85,51.77,CWUEL,3.126,-0.299,3.766,-0.299,3291.8
ODP1209,B,6,H,2,135,137,45.95,51.87,CWUEL,3.34,-0.411,3.98,-0.411,3297.3
ODP1209,B,6,H,2,140,142,46,51.92,CWUEL,3.25,-0.274,3.89,-0.274,3300
ODP1209,B,6,H,2,145,147,46.05,51.97,CWUEL,3.255,-0.342,3.895,-0.342,3303.1
ODP1209,B,6,H,3,2,4,46.12,52.04,CWUEL,3.216,-0.273,3.856,-0.273,3307.3
ODP1209,B,6,H,3,5,7,46.15,52.07,CWUEL,3.119,-0.261,3.759,-0.261,3309.3
ODP1209,B,6,H,3,15,17,46.25,52.17,CWUEL,2.908,-0.273,3.548,-0.273,3315.8
ODP1209,B,6,H,3,25,27,46.35,52.27,CWUEL,2.637,-0.004,3.277,-0.004,3323.1
ODP1209,B,6,H,3,30,32,46.4,52.32,CWUEL,2.872,0.199,3.512,0.199,3326.5
ODP1209,B,6,H,3,35,37,46.45,52.37,CWUEL,2.707,0.094,3.347,0.094,3329.6
ODP1209,B,6,H,3,45,47,46.55,52.47,CWUEL,2.836,-0.046,3.476,-0.046,3334.5
ODP1209,B,6,H,3,55,57,46.65,52.57,CWUEL,2.888,-0.093,3.528,-0.093,3338.9
ODP1209,B,6,H,3,60,62,46.7,52.62,CWUEL,2.928,0.186,3.568,0.186,3341.4
ODP1209,B,6,H,3,65,67,46.75,52.67,CWUEL,2.884,-0.068,3.524,-0.068,3343.6
ODP1209,B,6,H,3,78,80,46.88,52.8,CWUEL,2.83,-0.031,3.47,-0.031,3349.1
ODP1209,B,6,H,3,85,87,46.95,52.87,CWUEL,2.866,-0.008,3.506,-0.008,3352.5
ODP1209,B,6,H,3,90,92,47,52.92,CWUEL,2.974,0.056,3.614,0.056,3354.5
ODP1209,B,6,H,3,95,97,47.05,52.97,CWUEL,2.902,-0.059,3.542,-0.059,3356.7
ODP1209,B,6,H,3,105,107,47.15,53.07,CWUEL,2.878,0.03,3.518,0.03,3360.7
ODP1209,B,6,H,3,115,117,47.25,53.17,CWUEL,2.735,0.039,3.375,0.039,3364.7
ODP1209,B,6,H,3,120,122,47.3,53.22,CWUEL,2.679,0.205,3.319,0.205,3366.9
