d13C,d18O,foram_species,depth_mcd,age_ka
0.70,3.75,CBRA,23.713400,686.83100
0.89,3.66,CWUE,23.745800,688.02800
1.05,3.60,CWUE,23.745800,688.02800
1.00,3.56,CWUE,23.793200,689.78600
0.51,3.53,CWUE,23.804800,690.21600
1.01,3.47,CKULL,23.851300,691.93700
1.15,3.39,CWUE,23.921000,694.50200
1.25,3.45,CWUE,23.967400,696.20500
0.77,3.48,CBRA,24.037100,698.76000
0.99,3.59,CCIC,24.083500,700.46300
1.20,3.63,CWUE,24.141600,702.59200
1.16,3.51,CWUE,24.141600,702.59200
0.72,3.73,CBRA,24.153200,703.01800
-0.31,4.15,CWUE,24.373900,710.46200
0.40,3.89,CWUE,24.431900,712.39800
-0.16,4.07,CWUE,24.490000,714.33300
0.84,3.58,CWUE,24.501600,714.72000
-0.50,4.20,CWUE,24.606100,718.20400
-0.16,4.44,CWUE,24.617700,718.59100
-0.34,4.38,CWUE,24.664200,720.14000
-0.28,4.39,CWUE,24.722300,722.07500
-0.27,4.41,CWUE,24.733900,722.46200
0.68,4.24,CWUE,24.780300,724.00700
-0.08,4.37,CWUE,24.838400,725.19300
0.18,4.36,CWUE,24.838400,725.19300
0.73,4.28,CWUE,24.896500,726.37900
0.89,4.10,CWUE,24.954500,727.56500
0.89,4.20,CWUE,24.966100,727.80300
0.73,4.24,CWUE,25.012600,728.75200
1.07,3.83,CWUE,25.070600,729.93800
1.12,3.95,CWUE,25.082300,730.17500
1.01,4.02,CWUE,25.128700,731.12400
1.04,3.65,CWUE,25.186800,732.31000
1.03,3.87,CWUE,25.198400,732.54800
0.98,3.98,CWUE,25.302900,734.68300
0.99,3.95,CWUE,25.314500,734.92000
0.45,3.91,CWUE,25.419000,737.05500
0.69,3.91,CWUE,25.477100,738.24200
0.75,3.92,CWUE,25.535200,739.42800
0.60,3.93,CWUE,25.546800,739.66500
0.07,4.52,CWUE,25.593500,740.62000
-0.06,4.45,CWUE,25.711200,743.04500
0.08,4.37,CWUE,25.781800,745.76000
0.04,4.54,CWUE,25.828800,747.57000
0.15,4.28,CWUE,25.887600,749.83300
-0.26,4.08,CWUE,25.899400,750.28500
-0.41,4.40,CWUE,25.946500,752.09500
0.09,4.27,CWUE,26.005300,754.35800
0.15,4.40,CWUE,26.017100,754.81000
0.27,4.23,CWUE,26.122900,758.88200
0.37,4.31,CWUE,26.122900,758.88200
-0.32,3.97,CWUE,26.181800,761.14500
-0.44,3.94,CWUE,26.240600,763.40700
0.84,3.77,CWUE,26.358200,767.93200
0.56,4.04,CWUE,26.406400,769.78500
0.77,3.90,CCIC,26.451900,771.53600
0.60,3.52,CWUE,26.497500,773.28700
0.92,3.77,CWUE,26.588500,776.78900
0.99,3.66,CWUE,26.725100,782.04100
0.14,3.38,CBRA,26.907200,789.00600
0.05,3.38,CWUE,26.916300,789.34300
-0.03,3.32,CSPP,26.916300,789.34300
-0.44,4.54,CWUE,26.952700,790.69200
-0.53,4.43,NUMB,27.002000,792.51700
-0.30,4.56,CWUE,27.111800,796.58400
-0.29,4.72,NUMB,27.166700,798.49300
-0.10,4.69,CWUE,27.221600,800.11800
-0.05,4.55,CWUE,27.232500,800.44300
-0.20,4.62,CWUE,27.276500,801.74400
-0.30,4.20,CWUE,27.276500,801.74400
0.11,4.43,CWUE,27.386300,804.99400
-0.21,4.23,CWUE,27.441200,806.61900
