Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Age (HMM)
S18 1724,ODP1209,A,5,H,5,90,92,43.6,47.46,3058.7
S17 2886,ODP1209,A,5,H,5,95,97,43.65,47.51,3061.4
S17 2887,ODP1209,A,5,H,5,107,109,43.77,47.63,3067.8
S17 2888,ODP1209,A,5,H,5,115,117,43.85,47.71,3072.3
S18 1725,ODP1209,A,5,H,5,120,122,43.9,47.76,3075.6
S17 2889,ODP1209,A,5,H,5,125,127,43.95,47.81,3078.9
S17 2890,ODP1209,A,5,H,5,135,137,44.05,47.91,3085.2
S18 1726,ODP1209,A,5,H,5,140,142,44.1,47.96,3088.7
S17 2891,ODP1209,A,5,H,5,145,147,44.15,48.01,3091.8
S18 1727,ODP1209,A,5,H,6,0,2,44.2,48.06,3095.2
S17 2761,ODP1209,A,5,H,6,5,7,44.25,48.11,3098.3
S17 2762,ODP1209,A,5,H,6,15,17,44.35,48.21,3103.6
S17 2763,ODP1209,A,5,H,6,25,27,44.45,48.31,3109.0
S18 1728,ODP1209,A,5,H,6,30,32,44.5,48.36,3111.9
S17 2764,ODP1209,A,5,H,6,35,37,44.55,48.41,3114.3
S17 2765,ODP1209,A,5,H,6,45,47,44.65,48.51,3118.7
S17 2766,ODP1209,A,5,H,6,55,57,44.75,48.61,3123.2
S18 1729,ODP1209,A,5,H,6,60,62,44.8,48.66,3125.4
S17 2767,ODP1209,A,5,H,6,65,67,44.85,48.71,3127.2
S17 2768,ODP1209,A,5,H,6,75,77,44.95,48.81,3131.2
S17 2769,ODP1209,A,5,H,6,85,87,45.05,48.91,3135.4
S18 1730,ODP1209,A,5,H,6,90,92,45.1,48.96,3138.1
S17 2770,ODP1209,A,5,H,6,95,97,45.15,49.01,3140.8
S17 2771,ODP1209,A,5,H,6,106,108,45.26,49.12,3146.8
S17 2142,ODP1209,B,6,H,1,15,17,43.25,49.17,3149.9
S17 2772,ODP1209,A,5,H,6,115,117,45.35,49.21,3153.0
S17 2143,ODP1209,B,6,H,1,25,27,43.35,49.27,3156.8
S18 1731,ODP1209,B,6,H,1,30,32,43.4,49.32,3159.9
S17 2144,ODP1209,B,6,H,1,35,37,43.45,49.37,3162.6
S17 2145,ODP1209,B,6,H,1,45,47,43.55,49.47,3167.7
S17 2146,ODP1209,B,6,H,1,55,57,43.65,49.57,3172.6
S18 1732,ODP1209,B,6,H,1,60,62,43.7,49.62,3175.7
S17 2147,ODP1209,B,6,H,1,65,67,43.75,49.67,3178.8
S17 2148,ODP1209,B,6,H,1,78,80,43.88,49.8,3186.1
S17 2149,ODP1209,B,6,H,1,85,87,43.95,49.87,3190.6
S18 1733,ODP1209,B,6,H,1,90,92,44,49.92,3194.1
S17 2150,ODP1209,B,6,H,1,95,97,44.05,49.97,3197.5
S17 2151,ODP1209,B,6,H,1,105,107,44.15,50.07,3203.9
S17 2152,ODP1209,B,6,H,1,115,117,44.25,50.17,3209.7
S18 1734,ODP1209,B,6,H,1,120,122,44.3,50.22,3212.6
S17 0812,ODP1209,B,6,H,1,125,127,44.35,50.27,3214.8
S17 0813,ODP1209,B,6,H,1,135,137,44.45,50.37,3219.0
S18 1735,ODP1209,B,6,H,1,140,142,44.5,50.42,3221.7
S17 0814,ODP1209,B,6,H,1,145,147,44.55,50.47,3224.2
S18 1736,ODP1209,B,6,H,2,0,2,44.6,50.52,3227.1
S17 0815,ODP1209,B,6,H,2,5,7,44.65,50.57,3229.9
S17 0816,ODP1209,B,6,H,2,15,17,44.75,50.67,3235.7
S17 0817,ODP1209,B,6,H,2,25,27,44.85,50.77,3241.1
S18 1737,ODP1209,B,6,H,2,30,32,44.9,50.82,3244.0
S17 0818,ODP1209,B,6,H,2,35,37,44.95,50.87,3246.4
S17 0819,ODP1209,B,6,H,2,45,47,45.05,50.97,3250.6
S17 0820,ODP1209,B,6,H,2,55,57,45.15,51.07,3254.9
S18 1738,ODP1209,B,6,H,2,60,62,45.2,51.12,3257.5
S17 0821,ODP1209,B,6,H,2,65,67,45.25,51.17,3260.4
S17 0822,ODP1209,B,6,H,2,75,77,45.35,51.27,3266.0
S17 0823,ODP1209,B,6,H,2,85,87,45.45,51.37,3272.2
S18 1739,ODP1209,B,6,H,2,90,92,45.5,51.42,3274.9
S17 0824,ODP1209,B,6,H,2,95,97,45.55,51.47,3277.3
S17 0825,ODP1209,B,6,H,2,105,107,45.65,51.57,3281.5
S17 0826,ODP1209,B,6,H,2,115,117,45.75,51.67,3286.0
S18 1921,ODP1209,B,6,H,2,120,122,45.8,51.72,3288.7
S17 0827,ODP1209,B,6,H,2,125,127,45.85,51.77,3291.8
S17 0828,ODP1209,B,6,H,2,135,137,45.95,51.87,3297.3
S18 1922,ODP1209,B,6,H,2,140,142,46,51.92,3300.0
S17 0829,ODP1209,B,6,H,2,145,147,46.05,51.97,3303.1
S18 1923,ODP1209,B,6,H,3,2,4,46.12,52.04,3307.3
S17 0830,ODP1209,B,6,H,3,5,7,46.15,52.07,3309.3
S17 1041,ODP1209,B,6,H,3,15,17,46.25,52.17,3315.8
S17 1042,ODP1209,B,6,H,3,25,27,46.35,52.27,3323.1
S18 1924,ODP1209,B,6,H,3,30,32,46.4,52.32,3326.5
S17 1043,ODP1209,B,6,H,3,35,37,46.45,52.37,3329.6
S17 1044,ODP1209,B,6,H,3,45,47,46.55,52.47,3334.5
S17 2153,ODP1209,B,6,H,3,55,57,46.65,52.57,3338.9
S18 1925,ODP1209,B,6,H,3,60,62,46.7,52.62,3341.4
S17 2154,ODP1209,B,6,H,3,65,67,46.75,52.67,3343.6
S17 2155,ODP1209,B,6,H,3,78,80,46.88,52.8,3349.1
S17 2156,ODP1209,B,6,H,3,85,87,46.95,52.87,3352.5
S18 1926,ODP1209,B,6,H,3,90,92,47,52.92,3354.5
S17 2157,ODP1209,B,6,H,3,95,97,47.05,52.97,3356.7
S17 2158,ODP1209,B,6,H,3,105,107,47.15,53.07,3360.7
S17 2159,ODP1209,B,6,H,3,115,117,47.25,53.17,3364.7
S18 1927,ODP1209,B,6,H,3,120,122,47.3,53.22,3366.9
S17 2160,ODP1209,B,6,H,3,125,127,47.35,53.27,3370.0
S17 2221,ODP1209,B,6,H,3,135,137,47.45,53.37,3375.4
S18 1928,ODP1209,B,6,H,3,140,142,47.5,53.42,3378.1
S17 2222,ODP1209,B,6,H,3,145,147,47.55,53.47,3380.5
S17 2223,ODP1209,B,6,H,4,5,7,47.65,53.57,3384.7
S17 2224,ODP1209,B,6,H,4,15,17,47.75,53.67,3388.7
S17 2225,ODP1209,B,6,H,4,25,27,47.85,53.77,3392.7
S17 2226,ODP1209,B,6,H,4,35,37,47.95,53.87,3396.5
S17 2227,ODP1209,B,6,H,4,45,47,48.05,53.97,3400.5
S17 2228,ODP1209,B,6,H,4,55,57,48.15,54.07,3404.3
S17 2229,ODP1209,B,6,H,4,65,67,48.25,54.17,3408.1
S17 2230,ODP1209,B,6,H,4,75,77,48.35,54.27,3411.9
S17 2231,ODP1209,B,6,H,4,85,87,48.45,54.37,3415.9
S17 2232,ODP1209,B,6,H,4,95,97,48.55,54.47,3419.9
S18 0082,ODP1209,B,6,H,4,105,107,48.65,54.57,3423.9
S18 0083,ODP1209,B,6,H,4,115,117,48.75,54.67,3428.1
S18 0084,ODP1209,B,6,H,4,125,127,48.85,54.77,3432.1
S18 0085,ODP1209,B,6,H,4,135,137,48.95,54.87,3435.9
S18 0086,ODP1209,B,6,H,4,145,147,49.05,54.97,3439.7
S18 0087,ODP1209,B,6,H,5,5,7,49.15,55.07,3443.4
S18 0088,ODP1209,B,6,H,5,15,17,49.25,55.17,3447.2
S18 0089,ODP1209,B,6,H,5,25,27,49.35,55.27,3451.0
S18 0090,ODP1209,B,6,H,5,35,37,49.45,55.37,3454.8
S18 0174,ODP1209,B,6,H,5,45,47,49.55,55.47,3458.6
S18 0175,ODP1209,B,6,H,5,55,57,49.65,55.57,3462.6
S18 0176,ODP1209,B,6,H,5,65,67,49.75,55.67,3466.6
S18 0177,ODP1209,B,6,H,5,78,80,49.88,55.8,3471.5
S18 0178,ODP1209,B,6,H,5,85,87,49.95,55.87,3474.1
S18 0179,ODP1209,B,6,H,5,95,97,50.05,55.97,3478.1
S18 0180,ODP1209,B,6,H,5,105,107,50.15,56.07,3482.4
S18 0627,ODP1209,B,6,H,5,115,117,50.25,56.17,3486.4
S18 0628,ODP1209,B,6,H,5,125,127,50.35,56.27,3490.8
S18 0629,ODP1209,B,6,H,5,135,137,50.45,56.37,3495.0
S18 0630,ODP1209,B,6,H,5,145,147,50.55,56.47,3498.8
S18 0631,ODP1209,B,6,H,6,5,7,50.65,56.57,3502.8
S18 0632,ODP1209,B,6,H,6,15,17,50.75,56.67,3507.0
S18 0633,ODP1209,B,6,H,6,25,27,50.85,56.77,3511.5
S18 0634,ODP1209,B,6,H,6,35,37,50.95,56.87,3516.2
S18 0635,ODP1209,B,6,H,6,46,48,51.06,56.98,3521.5
S17 3814,ODP1209,A,6,H,5,15,17,52.35,57.06,3526.4
S18 0636,ODP1209,B,6,H,6,55,57,51.15,57.07,3526.8
S17 3815,ODP1209,A,6,H,5,25,27,52.45,57.16,3532.4
