Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,age_ka
ODP1209,B,6,H,3,45,47,46.55,52.47,,,,3334.5
ODP1209,B,6,H,3,55,57,46.65,52.57,,,,3338.9
ODP1209,B,6,H,3,60,62,46.7,52.62,,,,3341.4
ODP1209,B,6,H,3,65,67,46.75,52.67,,,,3343.6
ODP1209,B,6,H,3,78,80,46.88,52.8,,,,3349.1
ODP1209,B,6,H,3,85,87,46.95,52.87,,,,3352.5
ODP1209,B,6,H,3,90,92,47,52.92,,,,3354.5
ODP1209,B,6,H,3,95,97,47.05,52.97,,,,3356.7
ODP1209,B,6,H,3,105,107,47.15,53.07,,,,3360.7
ODP1209,B,6,H,3,115,117,47.25,53.17,,,,3364.7
ODP1209,B,6,H,3,120,122,47.3,53.22,,,,3366.9
ODP1209,B,6,H,3,125,127,47.35,53.27,,,,3370
ODP1209,B,6,H,3,135,137,47.45,53.37,,,,3375.4
ODP1209,B,6,H,3,140,142,47.5,53.42,UVIG,3.616,-0.739,3378.1
ODP1209,B,6,H,3,145,147,47.55,53.47,,,,3380.5
ODP1209,B,6,H,4,5,7,47.65,53.57,UVIG,3.577,-0.761,3384.7
ODP1209,B,6,H,4,15,17,47.75,53.67,UVIG,3.681,-0.836,3388.7
ODP1209,B,6,H,4,25,27,47.85,53.77,UVIG,3.445,-0.847,3392.7
ODP1209,B,6,H,4,35,37,47.95,53.87,UVIG,3.09,-0.521,3396.5
ODP1209,B,6,H,4,45,47,48.05,53.97,UVIG,3.391,-0.579,3400.5
ODP1209,B,6,H,4,55,57,48.15,54.07,UVIG,3.351,-0.691,3404.3
ODP1209,B,6,H,4,65,67,48.25,54.17,UVIG,3.332,-0.504,3408.1
ODP1209,B,6,H,4,75,77,48.35,54.27,UVIG,3.203,-0.624,3411.9
ODP1209,B,6,H,4,85,87,48.45,54.37,,,,3415.9
ODP1209,B,6,H,4,95,97,48.55,54.47,,,,3419.9
ODP1209,B,6,H,4,105,107,48.65,54.57,,,,3423.9
ODP1209,B,6,H,4,115,117,48.75,54.67,UVIG,3.386,-0.82,3428.1
ODP1209,B,6,H,4,125,127,48.85,54.77,UVIG,3.121,-0.746,3432.1
ODP1209,B,6,H,4,135,137,48.95,54.87,,,,3435.9
ODP1209,B,6,H,4,145,147,49.05,54.97,,,,3439.7
ODP1209,B,6,H,5,5,7,49.15,55.07,,,,3443.4
ODP1209,B,6,H,5,15,17,49.25,55.17,,,,3447.2
ODP1209,B,6,H,5,25,27,49.35,55.27,,,,3451
ODP1209,B,6,H,5,35,37,49.45,55.37,,,,3454.8
ODP1209,B,6,H,5,45,47,49.55,55.47,,,,3458.6
ODP1209,B,6,H,5,55,57,49.65,55.57,UVIG,3.691,-1.012,3462.6
ODP1209,B,6,H,5,65,67,49.75,55.67,UVIG,3.456,-0.682,3466.6
ODP1209,B,6,H,5,67,69,49.77,55.69,UVIG,3.146,-0.679,3467.2
ODP1209,B,6,H,5,78,80,49.88,55.8,,,,3471.5
ODP1209,B,6,H,5,85,87,49.95,55.87,,,,3474.1
ODP1209,B,6,H,5,95,97,50.05,55.97,UVIG,3.111,-0.091,3478.1
ODP1209,B,6,H,5,105,107,50.15,56.07,,,,3482.4
ODP1209,B,6,H,5,115,117,50.25,56.17,UVIG,3.177,0.078,3486.4
ODP1209,B,6,H,5,125,127,50.35,56.27,UVIG,3.292,-0.032,3490.8
ODP1209,B,6,H,5,135,137,50.45,56.37,UVIG,3.367,-0.258,3495
ODP1209,B,6,H,5,145,147,50.55,56.47,,,,3498.8
ODP1209,B,6,H,6,5,7,50.65,56.57,,,,3502.8
ODP1209,B,6,H,6,15,17,50.75,56.67,,,,3507
ODP1209,B,6,H,6,25,27,50.85,56.77,,,,3511.5
ODP1209,B,6,H,6,35,37,50.95,56.87,,,,3516.2
ODP1209,B,6,H,6,46,48,51.06,56.98,,,,3521.5
ODP1209,A,6,H,5,15,17,52.35,57.06,,,,3526.4
ODP1209,B,6,H,6,55,57,51.15,57.07,,,,3526.8
ODP1209,A,6,H,5,25,27,52.45,57.16,UVIG,3.118,-0.234,3532.4
ODP1209,B,6,H,6,65,67,51.25,57.17,,,,3533.1
ODP1209,A,6,H,5,35,37,52.55,57.26,,,,3538.4
ODP1209,A,6,H,5,45,47,52.65,57.36,,,,3543.7
ODP1209,A,6,H,5,55,57,52.75,57.46,UVIG,3.213,-0.246,3548.9
ODP1209,A,6,H,5,65,67,52.85,57.56,,,,3554.2
ODP1209,A,6,H,5,75,77,52.95,57.66,,,,3559.7
ODP1209,A,6,H,5,85,87,53.05,57.76,,,,3565.3
ODP1209,A,6,H,5,95,97,53.15,57.86,,,,3570.9
ODP1209,A,6,H,5,107,109,53.27,57.98,,,,3577.8
ODP1209,A,6,H,5,115,117,53.35,58.06,,,,3581.8
ODP1209,A,6,H,5,125,127,53.45,58.16,,,,3587.3
ODP1209,A,6,H,5,137,139,53.57,58.28,UVIG,3.387,-0.634,3595.6
ODP1209,A,6,H,5,145,147,53.65,58.36,,,,3600
,,,,,,,,,,,,
ODP1209,A,7,H,3,115,117,59.85,65.86,,,,
ODP1209,A,7,H,3,120,122,59.9,65.91,,,,
ODP1209,A,7,H,3,125,127,59.95,65.96,,,,
ODP1209,A,7,H,3,128,130,59.98,65.99,,,,
ODP1209,A,7,H,4,5,7,60.25,66.26,,,,
ODP1209,A,7,H,4,10,12,60.3,66.31,,,,
ODP1209,A,7,H,4,15,17,60.35,66.36,,,,
ODP1209,A,7,H,4,20,22,60.4,66.41,,,,
ODP1209,A,7,H,4,25,27,60.45,66.46,,,,
ODP1209,A,7,H,4,30,32,60.5,66.51,,,,
ODP1209,A,7,H,4,35,37,60.55,66.56,UVIG,3.085,-0.409,
ODP1209,A,7,H,4,40,42,60.6,66.61,,,,
ODP1209,A,7,H,4,45,47,60.65,66.66,,,,
ODP1209,A,7,H,4,50,52,60.7,66.71,,,,
ODP1209,A,7,H,4,55,57,60.75,66.76,,,,
ODP1209,A,7,H,4,60,62,60.8,66.81,,,,
ODP1209,A,7,H,4,65,67,60.85,66.86,,,,
ODP1209,A,7,H,4,70,72,60.9,66.91,,,,
ODP1209,A,7,H,4,75,77,60.95,66.96,,,,
ODP1209,A,7,H,4,80,82,61,67.01,,,,
ODP1209,A,7,H,4,85,87,61.05,67.06,,,,
ODP1209,A,7,H,4,90,92,61.1,67.11,,,,
ODP1209,A,7,H,4,95,97,61.15,67.16,UVIG,3.18,-0.334,
ODP1209,A,7,H,4,100,102,61.2,67.21,UVIG,3.185,-0.427,
ODP1209,A,7,H,4,105,107,61.25,67.26,UVIG,3.121,-0.56,
ODP1209,A,7,H,4,110,112,61.3,67.31,UVIG,3.286,-0.284,
ODP1209,A,7,H,4,115,117,61.35,67.36,,,,
ODP1209,A,7,H,4,120,122,61.4,67.41,,,,
ODP1209,A,7,H,4,125,127,61.45,67.46,,,,
ODP1209,A,7,H,4,130,132,61.5,67.51,,,,
ODP1209,A,7,H,4,135,137,61.55,67.56,,,,
ODP1209,A,7,H,4,138,140,61.58,67.59,UVIG,3.271,-0.188,
ODP1209,A,7,H,5,0,2,61.7,67.71,UVIG,3.046,-0.329,
ODP1209,A,7,H,5,5,7,61.75,67.76,UVIG,3.421,-0.33,
ODP1209,A,7,H,5,10,12,61.8,67.81,,,,
ODP1209,A,7,H,5,15,17,61.85,67.86,,,,
ODP1209,A,7,H,5,20,22,61.9,67.91,,,,
ODP1209,A,7,H,5,25,27,61.95,67.96,,,,
ODP1209,A,7,H,5,30,32,62,68.01,,,,
ODP1209,A,7,H,5,35,37,62.05,68.06,,,,
ODP1209,A,7,H,5,40,42,62.1,68.11,,,,
ODP1209,A,7,H,5,45,47,62.15,68.16,,,,
ODP1209,A,7,H,5,50,52,62.2,68.21,,,,
ODP1209,A,7,H,5,55,57,62.25,68.26,,,,
